RunTime,ExecutableName
2026-05-01 11:05:33,147.0.7727.138_CHROME_INSTALL
2026-05-01 11:05:35,\VOLUME{01dcd95ccfce9a9e-fccfd489}\USERS\D3VUCCI\DOWNLOADS\7Z2601-X64.EXE
2026-05-01 12:23:42,\VOLUME{01dcd95ccfce9a9e-fccfd489}\PROGRAM FILES\7-ZIP\7ZG.EXE
2026-05-01 12:12:29,\VOLUME{01dcd95ccfce9a9e-fccfd489}\PROGRAM FILES\7-ZIP\7ZG.EXE
2026-05-01 11:42:17,\VOLUME{01dcd95ccfce9a9e-fccfd489}\PROGRAM FILES\7-ZIP\7ZG.EXE
2026-05-01 11:19:09,\VOLUME{01dcd95ccfce9a9e-fccfd489}\PROGRAM FILES\7-ZIP\7ZG.EXE
2026-05-01 12:15:47,\VOLUME{01dcd95ccfce9a9e-fccfd489}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2026-05-01 10:55:38,\VOLUME{01dcd95ccfce9a9e-fccfd489}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2026-05-01 10:59:58,\VOLUME{01dcd95ccfce9a9e-fccfd489}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2026-05-01 10:59:58,\VOLUME{01dcd95ccfce9a9e-fccfd489}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2026-05-01 10:59:47,\VOLUME{01dcd95ccfce9a9e-fccfd489}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2026-05-01 10:59:59,\VOLUME{01dcd95ccfce9a9e-fccfd489}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2026-05-01 10:59:57,\VOLUME{01dcd95ccfce9a9e-fccfd489}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2026-05-01 11:07:14,\VOLUME{01dcd95ccfce9a9e-fccfd489}\WINDOWS\SYSTEM32\BACKGROUNDTRANSFERHOST.EXE
2026-05-01 11:07:14,\VOLUME{01dcd95ccfce9a9e-fccfd489}\WINDOWS\SYSTEM32\BACKGROUNDTRANSFERHOST.EXE
2026-05-01 11:07:13,\VOLUME{01dcd95ccfce9a9e-fccfd489}\WINDOWS\SYSTEM32\BACKGROUNDTRANSFERHOST.EXE
2026-05-01 11:07:12,\VOLUME{01dcd95ccfce9a9e-fccfd489}\WINDOWS\SYSTEM32\BACKGROUNDTRANSFERHOST.EXE
2026-05-01 12:33:27,\VOLUME{01dcd95ccfce9a9e-fccfd489}\WINDOWS\SYSTEM32\BDEUISRV.EXE
2026-05-01 11:27:41,\VOLUME{01dcd95ccfce9a9e-fccfd489}\WINDOWS\SYSTEM32\BDEUISRV.EXE
2026-05-01 10:52:05,\VOLUME{01dcd95ccfce9a9e-fccfd489}\WINDOWS\SYSTEM32\BDEUISRV.EXE
